"id","geom","filename","code","value","datetime","camera_model","gpsimagedirection","azimuth","bbox_in_picture","sign_center","lon_picture","lat_picture","sequence_id","picture_id","result"
34,NULL,"543087321cf7f6df25f0dea6ee20f995c1c6f9ec3aeac92623f65187bc689bbc.jpg","A00",NULL,"2022-10-12 12:07:55","PULSAR","7.04",NULL,"[1024,2608,1168,2816]",NULL,"7.736212","48.647283","13013909-db52-46ff-a5b4-6d15b2bb40ff","5a8248a5-962c-4863-8642-e511505970f5",NULL
35,NULL,"5656653b7b8dbfc94f9fab7dd8d5b7adce3fc9420c176a1f0f3b0cefbffa595e.jpg","A00",NULL,"2021-08-10 11:40:54","LB5","355.4",NULL,"[3072,1840,3248,2128]",NULL,"7.752787","48.571801","ffb6172a-892d-47f6-b04c-7e1cde0954f3","26f8f705-7bc0-4254-96c3-a61febb7065d",NULL
36,NULL,"57135018320a8a4612494a16b450545a6ddb23041edeca09c4ba510f9d29d077.jpg","A00",NULL,"2022-10-11 12:10:39","PULSAR","96.91",NULL,"[9584,2672,9744,2896]",NULL,"7.675205","48.592715","e1b90b77-8ef4-4c6b-8f33-b020c9ed8f8d","d17a5361-32a1-4a3e-972f-ca8ff0a94088",NULL
37,NULL,"5b9217620e567b509d3847aaf56b738811b33d4ccf4d6790e75f71f0ac381daa.jpg","A00",NULL,"2022-06-03 10:58:34","PULSAR","270.07",NULL,"[2752,2608,2896,2784]",NULL,"7.754663","48.54595","c6594fe5-5393-44c9-8175-0a26cfff51e5","ab88d097-1ee1-463d-98c0-e7fb0e14ee57",NULL
38,NULL,"5cbe4d86a6cbfad40caf37b89fb8db9f9cc90479e5522f180debd035906cef5e.jpg","A00",NULL,"2022-06-14 14:35:55","PULSAR","135.28",NULL,"[3712,2000,3968,2480]",NULL,"7.705936","48.551946","e1941f86-2afd-4163-abcc-24eef76ff4bf","40ad02a0-00e5-4d44-9e94-cdd29c223e38",NULL
39,NULL,"5df3ae285bf3b023f710d803f8e7023a822924beffcc1330147e8328cf5f9758.jpg","A00",NULL,"2022-11-25 14:35:52","PULSAR","234.06",NULL,"[9872,2704,10016,2896]",NULL,"7.59219","48.522234","56415efc-3b59-4544-8da9-baec10f7275a","01add1f2-2177-4939-9a7a-9df84fe48005",NULL
40,NULL,"61048264d0738b7816736a427e54d9709e24c0679e3526e7132cc7342546a12b.jpg","A00",NULL,"2021-11-16 13:17:22","PULSAR","161.54",NULL,"[10352,2672,10528,2880]",NULL,"7.694653","48.526561","32475030-270c-4e10-933b-e0e86ae612a0","f24d2ef3-7a9a-4e5e-b8c1-7c6b66523096",NULL
41,NULL,"63ad8b924a3045178d5fde9f62f9bca93b68d01ef0924522c8af7da220757233.jpg","A00",NULL,"2022-04-22 13:25:41","PULSAR","4.57",NULL,"[9824,2688,10016,2976]",NULL,"7.731563","48.570109","27dd5fbb-3869-40e3-94b7-473308c87b41","e07c812f-8098-4f77-8a45-7603969a4b96",NULL
42,NULL,"67647df30ca03afe21bea738dde08f49f693ab494af7bb5d6fe02e6aa1aba042.jpg","A00",NULL,"2022-06-08 13:34:17","PULSAR","276.4",NULL,"[5600,2592,5744,2768]",NULL,"7.753109","48.572399","73db92ab-60b7-4045-ad1c-fb4c97dde83e","a763008c-7386-4691-8f96-620ccf53ea54",NULL
43,NULL,"684706bda7b402b2c0cc74bff07a6bf137b6bf86c1da6d25ddc010d9487e50d2.jpg","A00",NULL,"2021-08-19 11:52:29","Pilot","332.08",NULL,"[7216,1744,7344,1904]",NULL,"7.758598","48.559381","0d9aa977-ab83-4f8c-ab3d-ce6c92c13891","8fa18121-7899-42ab-aecc-7bfb0781c2b0",NULL
