A00, 4
A1a, 0
A1b, 0
A1c, 0
A1c, 0
A1d, 0
A2a, 0
A2b, 0
A3, 0
A3a, 0
A3b, 0
A4, 0
A6, 0
A7, 0
A8, 0
A9, 0
A9a, 0
A9b, 0
A13a, 0
A13b, 0
A14, 0
A15a1, 0
A15a2, 0
A15b, 0
A15c, 0
A16, 0
A17, 0
A18, 0
A19, 0
A20, 0
A21, 0
A23, 0
A24, 0
AB1, 0
AB2, 0
AB3, 1
AB3a, 1
AB3b, 1
AB4, 2
AB5, 1
AB25, 0
AB6, 3
AB7, 3
B0, 4
B1, 4
B1j, 5
B2a, 4
B2b, 4
B2c., 4
B3, 4
B3a, 4
B4, 4
B5a, 4
B5b, 4
B5c, 4
B6a1, 4
B6a2, 4
B6a3, 4
B6d, 4
B7a, 4
B7b, 4
B8, 4
B9a, 4
B9b, 4
B9c, 4
B9d, 4
B9e, 4
B9f, 4
B9g, 4
B9h, 4
B9i, 4
B10a, 4
B11, 4
B12, 4
B13, 4
B13a, 4
B14, 4
B15, 4
B16, 4
B17, 4
B18a, 4
B18b, 4
B18c, 4
B19, 4
B21-1, 4
B21-2, 4
B21a1, 4
B21a2, 4
B21b, 4
B21c1, 4
B21c2, 4
B21d1, 4
B21d2, 4
B21e, 4
B22a, 4
B22b, 4
B22c, 4
B25, 4
B26, 4
B27a, 4
B27b, 4
B29, 4
B31, 4
B33, 4
B34, 4
B34a, 4
B35, 4
B39, 4
B40, 4
B41, 4
B42, 4
B43, 4
B44, 4
B45, 4
B49, 4
B6b1, 5
B50a, 5
B6b2, 5
B50b, 5
B6b3, 5
B50c, 5
B6b4, 5
B50d, 5
B6b5, 5
B50e, 5
B30, 6
B51, 6
B52, 5
B53, 5
B54, 5
B55, 5
B56, 6
B57, 6
B58, 6
B59, 6
C1a, 5
C1b, 5
C1b-ancien, 5
C1c, 5
C3, 6
C4a, 5
C4b, 5
C5, 5
C6, 5
C8, 5
C9, 5
C12, 5
C13a, 5
C13b, 5
C13c, 5
C13d, 5
C14, 6
C18, 5
C20a, 5
C20b2, 5
C20c, 5
C23, 5
C24a, 5
C24b, 5
C24c, 5
C25a, 6
C25b, 6
C26a, 5
C26b, 5
C27, 5
C28, 5
C29a, 5
C29b, 5
C29c, 5
C30, 5
C50, 5
C51a, 5
C51b, 5
C62, 5
C64a, 5
C64b, 5
C64c1, 5
C64c2, 5
C64d, 5
C107, 5
C108, 5
C111, 5
C112, 5
C113, 5
C114, 5
C115, 5
C116, 5
C117-b21b, 6
C117-b21c1, 6
C117-b21c2, 6
C117-b21d1, 6
C117-b21d2, 6
C117-b21e, 6
C207, 5
C208, 5
CE1, 5
CE2a, 5
CE2b, 5
CE3a, 5
CE3b, 5
CE4a, 5
CE4b, 5
CE4c, 5
CE5a, 5
CE5b, 5
CE6a, 5
CE6b, 5
CE7, 5
CE8, 5
CE9, 5
CE10, 5
CE12, 5
CE14, 5
CE15a, 5
CE15c, 5
CE15e, 5
CE15f, 5
CE15g, 5
CE15h, 5
CE15i, 5
CE15j, 5
CE16, 5
CE17, 5
CE18, 5
CE19, 5
CE20a, 5
CE20b, 5
CE21, 5
CE22, 5
CE23, 5
CE24, 5
CE25, 5
CE26, 5
CE27, 5
CE28, 5
CE29, 5
CE30a, 5
CE30b, 5
CE50, 5
CE51, 5
CE52, 5
CE100, 5
Dp1a, 7
Dp1b, 7
Dp2a, 7
Dp2b, 7
EB10, 7
EB20, 7
J5, 5
M6h, 8
M9-rappel, 8
M9v, 8
M12d, 9
M12f, 9
SR3, 6
Z, 5
Z-fin-covoiturage, 5
